id,date,Year,Month,Day,SP500,DX.Y.NYBClose,NDXClose,X.DJIClose,X.TNXClose,X.IRXClose,X.TYXClose,AAPLClose,SP500Re,DXYRe,NDXRe,DJIRe,TNXRe,IRXRe,TYXRe,AAPLRe
526,1992-01-29,1992,1,29,410.339996,86.980003,337.290009,3225,7.25,3.86,7.75,0.564732,-1.66,3.76,1.18,1.66,6.93,0,3.89,6.3
527,1992-01-30,1992,1,30,411.619995,87.580002,338.38501,3244.899902,7.31,3.83,7.79,0.569196,-1.84,3.74,1.06,1.36,6.72,-0.52,4.14,8.05
528,1992-01-31,1992,1,31,408.779999,87.489998,338.315002,3223.399902,7.31,3.84,7.77,0.578125,-2.2,5.19,0.42,0.73,7.18,0.79,4.44,11.64
529,1992-02-03,1992,2,3,409.529999,87.080002,341.380005,3234.100098,7.36,3.84,7.82,0.587054,-1.89,5.12,0.51,0.91,8.88,2.4,5.82,11.21
530,1992-02-04,1992,2,4,413.850006,86.699997,346.915009,3272.800049,7.29,3.84,7.76,0.587054,-1.02,4.56,0.76,2.15,7.68,3.23,4.72,8.68
531,1992-02-05,1992,2,5,413.839996,86.25,350.859985,3257.600098,7.21,3.84,7.74,0.590402,-0.9,1.09,0.15,1.5,6.19,1.86,4.31,6.22
532,1992-02-06,1992,2,6,413.820007,86.099998,349.070007,3255.600098,7.2,3.81,7.75,0.572545,-0.31,-0.47,0.56,1.75,5.11,-0.26,3.75,3.01
533,1992-02-07,1992,2,7,411.089996,85.290001,346.804993,3225.399902,7.2,3.74,7.77,0.571429,-0.78,-1.03,-0.42,1.25,4.05,-1.84,3.74,3.23
534,1992-02-10,1992,2,10,413.769989,86.099998,345.234985,3245.100098,7.21,3.73,7.79,0.563616,-1.59,-0.66,-2.09,-0.03,2.56,-2.36,3.32,-2.13
535,1992-02-11,1992,2,11,413.76001,86.93,344.404999,3251.600098,7.23,3.75,7.79,0.561384,-1.67,-1.42,-3.15,-0.21,2.55,-2.34,2.91,-0.98
536,1992-02-12,1992,2,12,417.130005,87.5,355.975006,3276.800049,7.3,3.75,7.81,0.582589,-0.26,-0.38,1.15,0.84,2.38,-1.06,2.09,3.98
537,1992-02-13,1992,2,13,413.690002,88.279999,349.809998,3246.699951,7.4,3.79,7.92,0.573661,-1.23,2.19,0.02,-0.56,4.37,0,4.07,-0.77
538,1992-02-14,1992,2,14,412.480011,88.32,346.695007,3246,7.41,3.79,7.91,0.572545,-0.93,2.38,1.43,-0.25,4.51,0,3.94,0.2
539,1992-02-18,1992,2,18,407.380005,89.059998,338.545013,3224.699951,7.47,3.81,7.97,0.560268,-1.27,3.38,3.2,0.04,6.26,2.14,5.28,2.66
540,1992-02-19,1992,2,19,408.26001,89.050003,338.059998,3230.300049,7.42,3.85,7.93,0.553571,-2.36,3.23,-2.39,-0.78,4.65,2.67,4.07,-2.36
541,1992-02-20,1992,2,20,413.899994,89.089996,345.334991,3280.600098,7.41,3.88,7.91,0.577009,-0.26,2.47,-0.21,1.67,2.92,2.92,2.59,0.19
542,1992-02-21,1992,2,21,411.429993,89.650002,342.390015,3280.199951,7.45,3.93,7.95,0.580357,-0.97,3.8,-0.89,1.47,2.76,3.15,3.11,0.58
543,1992-02-24,1992,2,24,412.269989,89.440002,338.964996,3282.399902,7.47,3.93,7.97,0.590402,-0.66,2.32,-0.44,1.29,3.18,2.08,3.37,2.52
544,1992-02-25,1992,2,25,410.450012,89.75,338.329987,3257.800049,7.44,3.96,7.94,0.611607,-1.09,3.1,-0.74,-0.44,3.91,3.39,3.66,4.98
545,1992-02-26,1992,2,26,415.350006,89.199997,347.809998,3283.300049,7.33,3.94,7.85,0.623884,1.22,2.55,3.12,1.81,1.1,2.07,1.29,10.47
546,1992-02-27,1992,2,27,413.859985,88.720001,347.390015,3269.5,7.35,3.93,7.86,0.611607,0.54,1.3,2.66,0.76,0.55,2.61,0.9,7.45
547,1992-02-28,1992,2,28,412.700012,88.989998,345.880005,3267.699951,7.27,3.93,7.8,0.602679,0.96,1.71,2.24,1.37,-0.55,2.34,0.39,4.25
548,1992-03-02,1992,3,2,412.450012,89.199997,346.63501,3275.300049,7.38,4.03,7.9,0.600446,0.71,2.43,1.54,1.27,0.27,4.95,1.02,2.28
549,1992-03-03,1992,3,3,412.850006,89.970001,345.704987,3290.300049,7.43,4.04,7.93,0.592634,-0.24,3.77,-0.35,0.53,1.92,5.21,2.19,0.95
550,1992-03-04,1992,3,4,409.329987,90.510002,341.609985,3268.600098,7.43,4.03,7.9,0.580357,-1.09,4.94,-2.64,0.34,3.05,4.95,2.07,-1.7
551,1992-03-05,1992,3,5,406.51001,90.690002,337.519989,3241.5,7.51,4.04,7.95,0.566964,-1.77,5.33,-3.31,-0.43,4.31,6.04,2.58,-0.97
552,1992-03-06,1992,3,6,404.440002,90.480003,333,3221.600098,7.48,4.04,7.93,0.571429,-1.62,6.09,-3.98,-0.12,3.89,8.02,2.06,0
553,1992-03-09,1992,3,9,405.209991,90.260002,333.315002,3215.100098,7.42,4.01,7.88,0.569196,-2.07,4.83,-3.45,-0.92,2.91,7.51,1.16,0.99
554,1992-03-10,1992,3,10,406.890015,90.720001,340.320007,3231,7.43,4.01,7.89,0.569196,-1.66,4.36,-1.19,-0.63,2.77,6.93,1.28,1.39
555,1992-03-11,1992,3,11,404.029999,90.349998,335.045013,3208.600098,7.51,4.01,7.96,0.564732,-3.14,3.26,-5.88,-2.08,2.88,6.93,1.92,-3.07
556,1992-03-12,1992,3,12,403.890015,90.830002,334.829987,3208.600098,7.62,4.02,8.04,0.560268,-2.37,2.89,-4.28,-1.17,2.97,6.07,1.52,-2.33
557,1992-03-13,1992,3,13,405.839996,90.839996,336.470001,3235.899902,7.71,4.06,8.06,0.563616,-1.61,2.85,-2.95,-0.31,4.05,7.12,1.9,-1.56
558,1992-03-16,1992,3,16,406.390015,90.510002,338.274994,3236.399902,7.69,4.06,8.07,0.565848,-0.24,1.63,-0.08,0.36,2.95,6.56,1.25,1
559,1992-03-17,1992,3,17,409.579987,89.760002,342.920013,3256,7.62,4.06,8.02,0.561384,0.32,0.8,1.44,0.8,2.7,5.45,1.13,1.41
560,1992-03-18,1992,3,18,409.149994,89.989998,342.625,3254.300049,7.62,4.05,8.01,0.569196,-1.15,1.01,-0.78,-0.8,2.83,4.38,1.26,-1.35
561,1992-03-19,1992,3,19,409.799988,90.910004,342.549988,3261.399902,7.57,4.05,7.98,0.5625,-0.4,1.41,0.05,-0.57,1.61,3.05,0.38,-3.08
562,1992-03-20,1992,3,20,411.299988,90.940002,340.86499,3276.399902,7.64,4.06,8.05,0.564732,-0.24,1.68,0.56,-0.18,2.28,3.31,1,-4.35
563,1992-03-23,1992,3,23,409.910004,90.68,339.035004,3272.100098,7.62,4.08,8.04,0.5625,-0.13,1.04,0.21,0.44,2.42,3.03,1.26,-8.03
564,1992-03-24,1992,3,24,408.880005,90.540001,336.934998,3261,7.53,4.05,7.94,0.580357,-1.56,1.5,-3.13,-0.68,2.73,2.79,1.15,-6.98
565,1992-03-25,1992,3,25,407.519989,90,337.654999,3259.399902,7.53,4.01,7.94,0.575893,-1.53,1.44,-2.8,-0.31,2.45,2.04,1.02,-5.84
566,1992-03-26,1992,3,26,407.859985,90.519997,333.295013,3267.699951,7.57,4.01,7.99,0.571429,-1.17,1.72,-3.64,0,4.13,2.04,2.44,-5.19
567,1992-03-27,1992,3,27,403.5,89.519997,324.220001,3231.399902,7.54,4.01,7.94,0.544643,-2.17,0.36,-6.47,-1.34,2.17,-0.5,0.51,-9.29
568,1992-03-30,1992,3,30,403,89.809998,322.350006,3235.199951,7.54,4.01,7.95,0.518973,-2.39,-0.18,-6.76,-1.67,1.48,-0.74,0.25,-12.43
569,1992-03-31,1992,3,31,403.690002,89.650002,323.049988,3235.5,7.54,4.05,7.96,0.520089,-1.38,-0.95,-5.43,-1.01,1.48,0.5,0.76,-10.38
570,1992-04-01,1992,4,1,404.230011,90.220001,323.915009,3249.300049,7.46,4.01,7.9,0.526786,-0.56,-0.52,-4.03,0.24,-0.67,-0.74,-0.63,-7.09
571,1992-04-02,1992,4,2,400.5,89.849998,317.665009,3234.100098,7.47,4.02,7.92,0.524554,-0.97,-0.7,-4.61,0.39,-0.13,-0.5,-0.13,-8.2
572,1992-04-03,1992,4,3,401.549988,89.080002,316.38501,3249.100098,7.42,3.96,7.88,0.526786,-0.9,-1.31,-5.08,1.06,0,-1.25,0,-7.45
573,1992-04-06,1992,4,6,405.589996,89.019997,324.549988,3275.5,7.41,3.96,7.88,0.542411,-0.32,-1.87,-4.63,1.38,-0.27,-1.25,-0.13,-4.71
574,1992-04-07,1992,4,7,398.059998,88.849998,312.954987,3213.600098,7.41,3.87,7.9,0.511161,-1.48,-1.66,-6.59,0.16,-1.33,-3.49,-0.75,-9.49
